id,FormName,CIK,ValueDate,FilingDate,FormURL,ReportQuarter
168,a2018form10-k,882095,2018-12-31,2019-02-26,https://www.sec.gov/Archives/edgar/data/0000882095/000088209519000006/a2018form10-k.htm,2018-10-01
169,form10k20231230,1000228,2023-12-30,2024-02-28,https://www.sec.gov/Archives/edgar/data/0001000228/000100022824000011/form10k20231230.htm,2023-10-01
170,hsic-20230930,1000228,2023-09-30,2023-11-28,https://www.sec.gov/Archives/edgar/data/0001000228/000100022823000052/hsic-20230930.htm,2023-07-01
171,hsic-20230701,1000228,2023-07-01,2023-08-07,https://www.sec.gov/Archives/edgar/data/0001000228/000100022823000043/hsic-20230701.htm,2023-04-01
172,hsic-20230401,1000228,2023-04-01,2023-05-09,https://www.sec.gov/Archives/edgar/data/0001000228/000100022823000026/hsic-20230401.htm,2023-01-01
173,hsic-20221231,1000228,2022-12-31,2023-02-21,https://www.sec.gov/Archives/edgar/data/0001000228/000100022823000011/hsic-20221231.htm,2022-10-01
174,hsic-20220924,1000228,2022-09-24,2022-11-01,https://www.sec.gov/Archives/edgar/data/0001000228/000100022822000068/hsic-20220924.htm,2022-07-01
175,hsic-20220625,1000228,2022-06-25,2022-08-02,https://www.sec.gov/Archives/edgar/data/0001000228/000100022822000056/hsic-20220625.htm,2022-04-01
176,hsic-20220326,1000228,2022-03-26,2022-05-03,https://www.sec.gov/Archives/edgar/data/0001000228/000100022822000033/hsic-20220326.htm,2022-01-01
177,hsicform10k20211225,1000228,2021-12-25,2022-02-15,https://www.sec.gov/Archives/edgar/data/0001000228/000100022822000016/hsicform10k20211225.htm,2021-10-01
178,hsicform10q20210925,1000228,2021-09-25,2021-11-02,https://www.sec.gov/Archives/edgar/data/0001000228/000100022821000081/hsicform10q20210925.htm,2021-07-01
179,hsicform10q20210626,1000228,2021-06-26,2021-08-03,https://www.sec.gov/Archives/edgar/data/0001000228/000100022821000060/hsicform10q20210626.htm,2021-04-01
180,hsicform10q20210327,1000228,2021-03-27,2021-05-04,https://www.sec.gov/Archives/edgar/data/0001000228/000100022821000036/hsicform10q20210327.htm,2021-01-01
181,hsicform10k20201226,1000228,2020-12-26,2021-02-17,https://www.sec.gov/Archives/edgar/data/0001000228/000100022821000019/hsicform10k20201226.htm,2020-10-01
182,hsicform10q20200926,1000228,2020-09-26,2020-11-02,https://www.sec.gov/Archives/edgar/data/0001000228/000100022820000066/hsicform10q20200926.htm,2020-07-01
183,hsicform10q20200627,1000228,2020-06-27,2020-08-04,https://www.sec.gov/Archives/edgar/data/0001000228/000100022820000055/hsicform10q20200627.htm,2020-04-01
184,hsic-20200328,1000228,2020-03-28,2020-05-05,https://www.sec.gov/Archives/edgar/data/0001000228/000100022820000034/hsic-20200328.htm,2020-01-01
185,hsic-20191228,1000228,2019-12-28,2020-02-20,https://www.sec.gov/Archives/edgar/data/0001000228/000100022820000018/hsic-20191228.htm,2019-10-01
186,hsic-20190928,1000228,2019-09-28,2019-11-05,https://www.sec.gov/Archives/edgar/data/0001000228/000100022819000067/hsic-20190928.htm,2019-07-01
187,hsic-20190629,1000228,2019-06-29,2019-08-06,https://www.sec.gov/Archives/edgar/data/0001000228/000100022819000048/hsic-20190629.htm,2019-04-01
188,the10_1q19,1000228,2019-03-30,2019-05-07,https://www.sec.gov/Archives/edgar/data/0001000228/000100022819000030/the10_1q19.htm,2019-01-01
